district	type	rt1	rt2	rt3	rt4	rt5	rt6	rt7	price	population	height	attraction	building	busstop	community	mall	primaryschool	restaurant	secondaryschool	university	deltausers
东城区	商住两用	1	1	1	0	0	1	1	45000.0	2640.0	18.0	2	0	0	12	0	1	21	3	0	-85
东城区	写字楼	1	1	1	1	1	0	1	56000.0	3520.0	14.5	3	0	1	28	0	1	40	0	1	-59
朝阳区	酒店式公寓	1	1	1	1	1	1	1	45000.0	1320.0	22.0	5	5	2	29	0	1	9	0	0	-70
东城区	纯住宅	1	1	1	1	1	0	0	46673.0	644.0	18.0	7	2	0	16	0	1	29	0	0	-188
东城区	纯住宅	1	1	1	0	0	0	1	52000.0	2094.75	15.5	3	13	1	33	0	1	14	1	0	-92
东城区	商住两用	1	1	0	0	0	1	0	32000.0	1320.0	8.0	3	4	1	34	0	0	26	2	0	-112
朝阳区	商住两用	1	1	0	0	1	0	1	39000.0	3960.0	24.0	1	4	5	26	2	0	21	0	0	-123
朝阳区	商住两用	1	0	0	0	0	0	1	35000.0	1306.8	22.0	0	5	6	28	2	0	14	0	0	-123
海淀区	写字楼	1	1	1	1	0	0	0	55000.0	3520.0	13.0	3	0	2	14	0	0	20	0	1	-89
海淀区	纯住宅	1	1	1	0	0	0	0	48500.0	2940.0	22.5	1	8	3	21	0	0	17	0	0	-119
朝阳区	纯住宅	1	1	1	1	1	0	0	56000.0	1050.0	24.0	10	11	1	44	0	2	23	1	2	-86
朝阳区	商住两用	1	1	0	0	0	0	1	30000.0	5280.0	17.0	1	3	1	21	0	0	25	0	0	-66
朝阳区	纯住宅	1	1	0	0	1	0	1	42000.0	1120.0	16.5	2	6	2	2	0	0	9	0	0	-122
朝阳区	纯住宅	1	1	1	1	0	0	1	50000.0	826.0	12.0	0	2	3	181	0	1	18	2	0	-222
朝阳区	纯住宅	1	1	1	0	0	0	1	48389.0	245.0	8.0	13	0	0	8	0	0	1	0	0	-51
昌平区	商住两用	1	1	1	1	1	0	0	40478.0	5280.0	29.0	0	1	0	23	0	0	2	0	0	-44
朝阳区	商住两用	1	1	1	0	0	0	1	40000.0	3762.0	26.5	1	2	1	75	0	1	5	2	0	-117
朝阳区	写字楼	1	1	0	1	0	0	0	NULL	3520.0	6.0	4	5	2	5	6	0	76	0	0	-129
西城区	写字楼	1	1	0	0	0	0	1	NULL	7040.0	29.0	2	6	2	50	0	1	27	2	0	-104
朝阳区	商住两用	1	1	0	0	0	0	1	36000.0	5280.0	23.0	1	0	1	94	0	0	7	1	0	-157
朝阳区	商住两用	1	1	1	1	1	1	1	50000.0	3960.0	27.0	5	0	0	1	0	0	19	0	0	-107
朝阳区	商住两用	1	1	0	0	0	0	0	36000.0	1320.0	23.5	1	2	1	78	0	0	7	1	0	-145
海淀区	商住两用	1	1	0	0	0	0	0	56485.0	10560.0	15.0	0	5	5	121	0	1	29	0	2	-117
海淀区	商住两用	1	1	0	0	0	0	1	49000.0	5280.0	16.0	0	9	4	62	0	0	28	0	0	-73
海淀区	纯住宅	1	1	1	0	0	0	1	51885.0	963.0	15.0	0	19	4	48	3	2	86	0	0	-44
海淀区	纯住宅	1	1	0	0	0	0	1	67000.0	1103.0	20.0	0	21	5	42	4	0	93	0	0	-58
西城区	商住两用	1	1	0	0	0	0	1	41163.0	1267.2	14.0	2	7	4	28	1	1	22	1	0	-130
海淀区	写字楼	1	1	0	0	0	0	1	NULL	3520.0	18.0	0	3	2	32	1	0	9	2	0	-111
海淀区	写字楼	1	1	0	0	0	0	0	NULL	3520.0	10.0	0	6	1	16	0	1	15	1	1	-125
海淀区	纯住宅	1	1	1	1	0	1	0	51000.0	4113.0	16.0	2	1	0	17	0	0	1	0	0	-31
西城区	纯住宅	1	1	1	0	0	0	0	47000.0	1575.0	23.0	103498	NULL	NULL	NULL	NULL	1	0	0	1	-125
西城区	纯住宅	1	1	0	0	0	0	1	48000.0	1344.0	21.0	1	10	2	20	0	1	34	0	1	-170
丰台区	纯住宅	1	1	1	1	1	0	0	53536.0	2100.0	21.5	0	0	1	0	0	0	6	0	0	-65
西城区	写字楼	1	1	0	0	1	0	1	39000.0	7040.0	20.0	0	0	1	10	0	0	0	0	0	-29
丰台区	写字楼	1	1	1	0	0	0	0	33300.0	3520.0	24.0	2	0	0	19	0	1	3	1	0	-86
西城区	纯住宅	1	1	1	1	0	0	0	55284.0	2310.0	11.5	1	2	4	29	0	0	27	0	3	-95
西城区	商住两用	1	1	1	0	1	0	1	48668.0	3960.0	19.0	3	1	1	16	0	0	34	0	0	-244
丰台区	写字楼	1	1	0	0	1	0	1	NULL	3520.0	16.0	0	0	2	56	0	0	19	1	0	-69
丰台区	纯住宅	1	1	1	0	0	0	1	42000.0	893.0	13.5	0	7	2	25	0	1	18	4	0	-46
丰台区	纯住宅	1	1	1	1	1	0	1	45000.0	1782.0	22.0	0	6	6	34	0	1	23	4	0	-71
丰台区	纯住宅	1	1	0	0	0	0	1	38000.0	2135.0	14.0	0	1	2	20	0	1	7	0	0	-60
朝阳区	纯住宅	1	1	1	1	1	0	1	32992.0	420.0	12.0	0	0	0	1	0	0	2	1	0	-13
东城区	纯住宅	1	1	1	1	1	0	1	58635.0	3801.0	15.0	2	6	1	39	0	2	39	0	0	0
朝阳区	商住两用	1	1	1	1	1	1	1	27863.0	3960.0	38.0	3	2	1	1	0	0	11	0	0	-79
朝阳区	写字楼	1	1	1	1	1	0	1	NULL	10560.0	16.0	1	2	0	1	0	0	6	0	0	-174
朝阳区	纯住宅	1	1	1	1	0	0	1	40000.0	956.0	24.0	1	2	0	1	0	0	6	0	0	-174
朝阳区	酒店式公寓	1	1	1	1	1	0	0	30395.0	2640.0	20.0	4	5	4	0	0	1	29	0	0	-59
朝阳区	纯住宅	1	1	1	0	0	0	0	40000.0	1540.0	23.0	0	4	4	79	0	0	44	0	0	-64
海淀区	商住两用	1	1	0	0	0	1	1	65000.0	3960.0	16.0	4	3	0	21	0	0	15	0	1	-130
海淀区	写字楼	1	1	1	1	1	0	0	NULL	3520.0	24.0	0	8	3	91	0	0	23	3	0	-121
海淀区	写字楼	1	1	0	0	0	0	1	45000.0	3520.0	24.0	3	2	2	43	0	2	44	1	0	-119
海淀区	纯住宅	1	1	1	1	1	0	1	61341.0	3535.0	18.5	2	3	2	51	5	1	30	0	0	-49
海淀区	酒店式公寓	1	1	1	0	0	0	1	65461.0	14520.0	26.0	1	22	1	12	1	0	29	0	4	-123
海淀区	写字楼	1	1	0	0	0	0	1	NULL	7040.0	10.5	2	22	2	32	0	1	42	2	2	-93
海淀区	纯住宅	1	1	0	0	1	0	1	40816.0	1022.0	19.0	0	9	1	20	0	0	16	0	4	-36
海淀区	写字楼	1	1	1	0	0	0	1	NULL	3520.0	12.0	1	6	4	16	0	1	19	0	1	-72
海淀区	纯住宅	1	1	1	0	0	0	0	60000.0	4620.0	19.0	26	0	1	22	0	0	6	0	0	-93
朝阳区	纯住宅	1	1	1	1	1	0	0	45000.0	3304.0	14.0	3	0	1	1	0	0	1	0	0	-86
海淀区	商住两用	1	1	1	0	0	0	0	46000.0	5280.0	21.0	1	10	2	20	0	0	16	0	0	-50
东城区	商住两用	1	1	1	1	1	0	1	45000.0	3960.0	14.5	4	11	2	55	0	0	30	1	0	-70
朝阳区	纯住宅	1	1	1	0	0	0	0	58000.0	4627.0	20.0	2	1	1	22	0	1	18	1	0	-25
朝阳区	商住两用	1	1	1	1	0	0	0	49377.0	2640.0	18.0	1	6	2	41	0	1	55	1	0	-35
朝阳区	纯住宅	1	1	1	0	0	0	0	44000.0	4200.0	17.0	0	2	1	13	0	0	1	0	0	0
西城区	纯住宅	1	1	0	1	1	0	1	72600.0	2800.0	17.0	1	2	2	65	0	1	18	1	0	-90
朝阳区	纯住宅	1	1	1	0	0	0	0	50000.0	959.0	22.0	2	8	2	49	1	0	40	1	0	-66
朝阳区	酒店式公寓	1	1	0	0	0	0	1	45000.0	3682.8	17.5	0	0	2	59	0	2	7	0	0	-114
西城区	纯住宅	1	1	0	1	1	1	1	72600.0	2657.0	17.0	1	0	2	85	0	1	17	1	0	-99
西城区	商住两用	1	1	0	0	1	0	1	38430.0	5280.0	23.0	0	1	1	16	0	0	5	0	0	-64
西城区	商住两用	1	1	0	0	0	0	1	36000.0	3960.0	24.0	0	0	2	28	0	0	8	0	0	-60
朝阳区	写字楼	1	0	1	0	1	0	0	NULL	21120.0	18.0	0	2	1	23	0	0	16	0	0	-89
朝阳区	商住两用	1	1	0	0	0	1	1	48200.0	3960.0	22.0	0	2	2	212	0	0	13	1	0	-190
朝阳区	纯住宅	1	1	0	0	0	0	1	55000.0	2310.0	22.0	0	0	2	23	0	1	10	1	0	-2
海淀区	商住两用	1	1	0	0	0	0	1	38000.0	1320.0	16.0	1	0	1	12	0	1	16	0	0	-200
海淀区	商住两用	1	1	0	1	0	1	1	72727.0	22440.0	17.5	1	0	1	5	0	1	12	0	0	-118
海淀区	纯住宅	1	1	1	1	0	1	0	56940.0	2688.0	16.5	2	7	3	59	1	0	57	0	0	0
海淀区	写字楼	1	0	0	0	0	0	1	NULL	7040.0	16.0	2	2	1	6	1	0	18	1	0	-127
海淀区	写字楼	1	0	0	0	0	0	1	NULL	3520.0	27.0	0	0	0	0	0	0	4	0	0	-5
海淀区	纯住宅	1	1	0	0	0	0	1	67000.0	1628.0	20.0	0	21	5	42	4	0	93	0	0	-58
朝阳区	商住两用	1	1	1	1	1	0	1	58000.0	34320.0	19.0	0	2	2	36	0	1	19	1	0	-219
朝阳区	纯住宅	1	1	1	1	0	0	0	35000.0	1085.0	26.0	24	16	2	46	1	0	54	2	0	-59
朝阳区	纯住宅	1	1	1	0	1	0	1	41000.0	4200.0	15.5	0	0	0	19	0	0	13	0	0	-12
朝阳区	写字楼	1	1	1	1	1	0	0	31000.0	3520.0	6.0	0	0	2	6	0	0	4	0	0	-52
西城区	商住两用	1	1	1	1	1	1	1	120000.0	13200.0	10.0	1	12	3	5	3	0	31	1	2	-110
大兴区	商住两用	1	1	1	1	1	0	1	29000.0	3960.0	11.0	0	0	4	18	0	0	2	0	0	-27
大兴区	写字楼	1	1	0	0	0	0	1	NULL	7040.0	5.5	1	1	4	18	0	0	0	0	0	-47
朝阳区	商住两用	1	1	1	0	1	0	0	50000.0	48840.0	8.5	0	4	3	163	0	0	11	1	1	-93
海淀区	写字楼	1	0	0	1	0	0	1	55000.0	17600.0	21.5	1	7	2	12	0	0	40	1	0	-132
朝阳区	商住两用	1	1	1	1	1	0	1	58000.0	5280.0	18.0	2	17	5	28	1	0	82	3	0	-114
海淀区	商住两用	1	1	0	0	0	0	1	48600.0	1320.0	15.0	2	6	3	27	0	1	59	0	0	-37
丰台区	纯住宅	0	1	1	0	0	0	0	34300.0	1512.0	18.0	0	2	0	34	0	0	15	1	0	-48
朝阳区	写字楼	1	1	1	1	0	0	1	NULL	3520.0	24.0	0	2	3	161	0	0	28	0	0	-92
朝阳区	写字楼	1	1	0	0	1	1	0	NULL	3520.0	4.0	1	1	0	26	0	0	13	0	0	-114
朝阳区	商住两用	1	1	1	1	1	1	1	40000.0	2640.0	27.0	6	2	1	26	1	0	8	0	0	-61
东城区	纯住宅	1	1	1	1	1	0	1	48458.0	3038.0	13.5	1	7	2	47	0	0	35	1	0	-109
朝阳区	写字楼	1	1	1	1	1	0	1	66200.0	3520.0	7.0	12	10	1	5	0	0	34	0	0	-113
朝阳区	纯住宅	1	1	1	0	0	0	1	43849.0	4534.44	16.5	0	6	3	127	0	0	25	0	0	-138
海淀区	写字楼	1	1	1	0	0	0	1	43000.0	3520.0	24.0	1	1	0	34	0	0	18	0	2	-262
海淀区	写字楼	1	1	1	0	0	0	1	37000.0	3414.4	20.0	2	10	1	25	1	0	8	1	2	-81
朝阳区	写字楼	1	1	1	1	1	0	1	42000.0	3520.0	24.0	5	10	2	10	0	0	10	0	0	-112
朝阳区	写字楼	1	1	1	1	1	0	0	NULL	3520.0	14.0	1	1	0	26	0	0	13	0	0	-114
海淀区	写字楼	1	1	1	0	0	0	1	NULL	2464.0	16.0	6	1	0	32	0	0	9	0	3	-138
海淀区	写字楼	1	0	0	0	0	0	1	37000.0	3520.0	19.0	0	1	2	38	0	0	6	0	0	-117
东城区	写字楼	1	1	1	1	1	0	0	NULL	3520.0	7.0	2	0	1	25	0	1	26	1	0	-71
朝阳区	纯住宅	1	1	1	1	0	0	1	41000.0	1050.0	18.5	1	2	0	1	0	0	6	0	0	-174
丰台区	纯住宅	1	1	0	0	0	0	0	30630.0	861.0	21.0	0	3	2	10	0	1	34	0	0	-17
东城区	商住两用	1	1	0	0	0	0	1	43000.0	1320.0	13.0	2	8	0	15	0	0	1	1	0	-63
西城区	纯住宅	1	0	0	0	0	0	1	44578.0	2450.0	20.0	3	1	2	28	2	0	42	0	0	-66
西城区	商住两用	1	1	1	0	0	0	0	66060.0	1320.0	16.0	11	0	1	6	0	1	20	1	0	-82
朝阳区	纯住宅	1	1	1	1	1	0	0	51000.0	910.0	17.0	1	3	1	63	0	1	58	0	0	-40
西城区	商住两用	1	1	1	1	1	0	1	67227.0	5280.0	10.5	1	0	2	7	0	0	30	0	0	-52
丰台区	纯住宅	1	1	1	0	0	0	1	40441.0	1225.0	14.0	0	1	2	34	0	1	9	1	0	-66
朝阳区	纯住宅	1	1	1	1	1	0	0	56300.0	3500.0	16.5	2	9	2	37	0	0	5	0	0	-68
丰台区	纯住宅	1	0	0	0	0	0	1	35000.0	3990.0	23.0	0	0	0	5	0	0	3	0	0	-65
东城区	商住两用	1	1	1	1	1	0	1	33500.0	1320.0	10.0	3	0	0	13	0	1	25	3	0	-82
东城区	写字楼	1	1	0	1	1	0	0	NULL	3520.0	5.0	3	0	0	13	0	1	25	3	0	-82
朝阳区	纯住宅	1	1	1	0	1	0	1	69644.0	630.0	9.5	3	5	2	20	1	0	31	1	0	-72
朝阳区	纯住宅	1	1	1	1	1	0	1	48014.0	4158.0	21.5	0	0	2	1	0	0	1	0	0	-117
丰台区	纯住宅	0	1	1	0	1	0	1	30000.0	8750.0	19.5	1	1	2	30	0	1	5	0	0	-20
朝阳区	写字楼	1	1	1	1	1	0	0	43000.0	6195.2	33.0	1	14	1	141	0	0	91	1	0	-177
海淀区	写字楼	1	1	1	1	0	0	1	NULL	3520.0	19.0	6	7	1	34	0	0	15	1	5	-189
石景山	写字楼	1	0	1	0	0	0	1	NULL	2640.0	12.0	0	3	0	0	0	0	6	0	0	-57
石景山	纯住宅	1	0	1	0	1	0	1	32000.0	4844.0	20.0	1	4	0	9	0	0	5	0	0	-40
东城区	纯住宅	1	1	1	1	1	0	1	58635.0	3801.0	15.0	2	6	1	39	0	2	39	0	0	0
东城区	写字楼	1	1	0	0	0	0	1	47000.0	3520.0	5.0	1	0	0	10	0	0	0	0	0	-86
海淀区	商住两用	1	1	1	0	0	0	1	40000.0	3960.0	13.0	0	4	5	37	1	0	52	0	0	-65
海淀区	纯住宅	1	1	1	1	1	1	1	62105.0	4823.0	7.5	0	1	1	31	0	0	11	0	0	-57
朝阳区	写字楼	1	1	1	1	1	0	1	NULL	3520.0	12.0	7	13	4	84	1	0	43	0	0	-39
朝阳区	写字楼	1	1	0	1	0	0	0	30000.0	3520.0	4.0	0	19	2	45	0	2	39	1	0	-105
朝阳区	商住两用	1	1	1	1	1	0	0	60000.0	2640.0	19.0	1	18	0	37	1	0	86	2	0	-67
海淀区	纯住宅	1	1	1	1	1	0	1	50000.0	9800.0	13.0	0	25	6	2	0	0	41	0	0	-39
东城区	写字楼	1	0	1	1	0	0	0	NULL	3520.0	10.0	10	16	2	5	0	0	44	0	0	-78
海淀区	商住两用	1	0	0	0	0	0	1	NULL	5068.8	17.0	0	2	0	0	0	0	21	0	0	-28
东城区	商住两用	1	1	1	1	1	1	1	61043.0	5280.0	24.0	4	22	2	8	0	0	43	0	0	-56
海淀区	写字楼	1	1	0	0	0	0	0	NULL	3520.0	12.0	0	0	0	0	0	0	1	0	0	-92
海淀区	纯住宅	1	1	0	0	0	0	1	39227.0	3430.0	17.5	0	2	1	5	0	0	3	0	0	-32
海淀区	纯住宅	1	1	0	0	0	0	1	33000.0	952.0	16.0	1	1	1	14	0	0	6	0	0	-52
海淀区	纯住宅	1	0	0	0	0	0	1	35000.0	3448.0	14.5	0	0	1	0	0	0	3	0	0	-33
海淀区	写字楼	1	1	0	0	0	0	1	52000.0	3520.0	15.0	0	0	1	0	0	0	0	0	0	-119
海淀区	写字楼	1	1	1	0	0	0	1	35000.0	3520.0	20.0	1	6	6	38	0	0	16	0	0	-188
海淀区	商住两用	1	1	0	0	0	0	0	48500.0	8962.8	22.0	1	7	3	28	0	0	14	0	0	-110
朝阳区	纯住宅	1	1	1	1	1	0	0	55000.0	1635.0	20.0	9	8	1	4	0	0	38	0	0	-154
朝阳区	纯住宅	1	1	0	0	0	0	1	39251.0	1456.0	23.0	2	6	2	68	0	0	32	0	0	-54
丰台区	写字楼	1	0	0	0	0	0	1	NULL	3344.0	9.0	0	0	1	18	0	0	10	0	0	-58
丰台区	纯住宅	1	1	0	1	1	1	1	40000.0	1267.0	22.0	0	2	1	13	0	0	15	0	0	-47
西城区	写字楼	1	1	1	0	1	0	1	50000.0	3520.0	6.0	0	6	1	41	0	0	15	0	0	-111
海淀区	写字楼	1	1	1	0	0	0	1	NULL	3520.0	20.0	1	15	2	15	2	0	81	0	1	-60
西城区	写字楼	0	1	0	0	0	0	1	52000.0	3520.0	11.0	2	1	0	35	0	2	13	0	0	-109
海淀区	写字楼	1	0	0	0	0	0	1	39500.0	3520.0	12.0	1	9	2	66	0	0	21	0	0	-61
海淀区	写字楼	1	1	0	0	0	0	1	55000.0	3520.0	23.0	3	1	0	19	0	0	11	0	2	-128
海淀区	写字楼	1	1	0	0	0	1	1	NULL	3273.6	12.0	1	1	0	29	0	1	9	0	0	-162
海淀区	写字楼	1	1	0	0	0	0	1	NULL	10560.0	10.0	1	1	0	29	0	1	9	0	0	-162
西城区	纯住宅	1	1	1	0	0	0	1	62000.0	8400.0	29.0	0	0	3	41	0	2	12	3	0	-193
海淀区	纯住宅	1	0	0	0	1	1	0	44680.0	3150.0	27.0	0	0	2	26	0	0	6	0	0	-72
海淀区	纯住宅	0	0	1	0	0	0	1	34000.0	2716.0	14.0	2	1	1	11	0	0	15	0	0	-21
海淀区	商住两用	1	1	0	0	0	0	1	51000.0	1320.0	18.0	25	2	1	25	0	0	22	0	0	-433
西城区	写字楼	1	1	0	0	1	0	0	58000.0	3520.0	16.0	0	2	1	48	0	2	8	0	2	-123
西城区	纯住宅	1	1	0	0	0	0	0	52749.0	392.0	17.0	0	2	1	55	0	1	6	0	0	-76
西城区	写字楼	1	1	1	0	0	0	1	NULL	3520.0	9.0	6	5	4	36	1	0	24	1	0	-138
西城区	商住两用	1	1	0	0	0	0	1	85000.0	1320.0	7.0	0	2	2	17	0	0	15	0	0	-41
西城区	写字楼	1	1	1	1	0	0	0	NULL	3520.0	20.0	3	6	2	41	0	2	24	0	0	-97
西城区	写字楼	1	1	0	0	1	0	1	49000.0	3520.0	5.0	0	7	1	15	0	1	10	0	0	-130
朝阳区	商住两用	1	1	0	0	0	0	1	43085.0	1320.0	24.0	4	25	2	28	3	0	46	2	0	-73
朝阳区	纯住宅	1	1	1	1	1	0	0	65000.0	1169.0	7.5	2	4	3	29	0	0	22	2	1	-3
朝阳区	商住两用	1	1	1	0	0	0	1	38000.0	2613.6	24.0	0	3	5	32	0	0	21	0	0	-97
朝阳区	商住两用	1	1	1	1	1	0	1	53777.0	9240.0	15.5	1	4	1	33	0	1	19	1	0	-50
朝阳区	纯住宅	1	0	1	0	0	0	0	32200.0	1050.0	8.0	0	4	2	30	0	1	24	0	0	-87
朝阳区	商住两用	1	0	0	0	0	0	1	36500.0	1320.0	9.5	6	10	2	26	0	1	11	0	0	-86
朝阳区	纯住宅	1	1	0	0	0	0	1	52000.0	1369.0	10.0	2	15	0	10	0	0	43	0	0	-49
海淀区	写字楼	1	1	0	0	0	0	0	NULL	7040.0	17.0	2	11	0	43	0	0	12	0	1	-145
西城区	纯住宅	1	1	0	0	1	1	1	71000.0	350.0	6.0	4	0	1	8	1	0	25	1	0	-24
朝阳区	商住两用	1	1	1	1	0	0	1	41500.0	14520.0	24.0	1	4	2	7	0	0	39	0	0	-49
西城区	纯住宅	0	1	1	0	0	0	0	58180.0	564.0	5.0	0	0	2	21	0	0	11	0	0	-18
海淀区	写字楼	1	1	0	0	0	0	0	36780.0	3520.0	4.0	6	1	2	26	0	1	11	0	2	-53
海淀区	写字楼	1	1	1	1	0	0	1	55000.0	3520.0	13.0	2	23	1	25	0	1	46	2	1	-183
朝阳区	写字楼	1	1	1	1	1	0	0	NULL	3520.0	27.0	9	5	2	13	1	1	8	0	0	-164
朝阳区	商住两用	1	1	1	1	1	0	1	45000.0	6600.0	16.0	2	10	6	22	1	0	74	0	0	-81
海淀区	写字楼	1	1	0	0	0	0	0	48000.0	2816.0	6.0	0	1	0	1	0	0	38	0	0	-61
朝阳区	纯住宅	1	1	1	0	0	0	0	42000.0	5376.0	24.0	3	17	1	38	2	0	52	1	0	-65
丰台区	写字楼	0	0	0	0	0	1	1	NULL	7040.0	9.0	0	0	2	28	1	0	23	1	0	-19
丰台区	纯住宅	1	1	0	0	1	0	1	40000.0	14700.0	13.5	0	0	2	1	0	0	0	1	0	-82
东城区	纯住宅	1	1	1	1	1	0	0	48000.0	1911.0	13.5	0	0	0	33	4	1	45	0	0	-6
海淀区	写字楼	1	1	0	1	0	0	0	NULL	2921.6	10.0	3	2	0	15	0	0	5	1	2	-68
海淀区	写字楼	1	0	0	0	0	1	1	NULL	3520.0	10.0	0	4	1	0	0	0	43	0	0	-87
丰台区	纯住宅	1	1	1	1	1	0	1	31600.0	1190.0	13.0	0	12	3	8	0	0	48	0	1	-30
海淀区	纯住宅	1	1	1	1	0	0	1	65000.0	1435.0	16.0	3	2	4	4	0	1	7	0	1	-81
海淀区	写字楼	1	1	0	0	0	0	1	38005.0	3520.0	25.0	0	6	1	20	0	0	19	2	3	-232
海淀区	商住两用	1	0	1	0	0	0	1	65000.0	2640.0	22.0	2	8	0	13	0	0	18	0	1	-106
朝阳区	纯住宅	1	1	1	1	0	0	0	52080.0	511.0	12.0	0	2	5	44	0	2	31	1	0	-145
朝阳区	纯住宅	0	0	1	0	0	0	1	30000.0	1050.0	18.0	0	0	1	1	0	0	0	1	0	0
西城区	纯住宅	1	1	1	0	0	0	0	34988.0	1505.0	25.5	2	5	2	25	0	1	23	0	0	-85
朝阳区	写字楼	1	1	0	0	0	0	1	NULL	3520.0	13.0	13	4	2	7	0	0	25	0	0	-129
海淀区	写字楼	1	1	0	0	0	0	0	NULL	3520.0	5.0	0	1	2	8	0	0	5	1	0	-89
海淀区	纯住宅	1	1	0	0	1	0	1	65000.0	8274.0	19.0	0	6	5	12	0	0	6	0	0	-177
丰台区	纯住宅	1	1	0	0	0	0	1	40000.0	595.0	23.0	0	2	2	0	0	0	5	0	0	-93
朝阳区	商住两用	1	1	0	0	1	0	1	40000.0	3880.8	15.0	3	6	2	12	0	0	31	0	0	-125
海淀区	纯住宅	1	1	0	0	0	0	1	55984.0	739.0	22.0	0	3	3	16	1	0	3	0	0	-11
朝阳区	商住两用	1	1	1	1	1	0	0	50000.0	9240.0	19.0	0	1	2	14	0	0	15	0	0	-94
海淀区	纯住宅	1	1	0	0	0	0	1	35000.0	497.0	10.0	7	2	2	106	0	0	51	0	0	-116
朝阳区	商住两用	1	1	1	1	1	0	0	40000.0	2640.0	20.0	2	0	2	0	0	0	1	0	0	-68
朝阳区	纯住宅	1	1	1	1	1	0	1	50000.0	525.0	9.0	1	1	2	10	0	0	2	0	0	-22
朝阳区	纯住宅	1	1	1	1	1	0	1	41200.0	2926.0	22.0	2	22	2	0	0	0	50	0	0	-39
海淀区	写字楼	1	0	0	0	1	0	0	NULL	3520.0	12.0	0	0	0	0	0	0	0	0	0	-88
西城区	纯住宅	1	0	1	0	0	0	1	44464.0	1995.0	17.0	3	3	1	23	0	0	13	1	0	-50
海淀区	纯住宅	1	0	1	0	0	0	1	37500.0	2688.0	17.0	1	6	1	5	1	0	3	0	0	-82
朝阳区	纯住宅	1	1	0	0	0	0	1	35000.0	865.0	27.0	4	31	1	103	1	0	32	1	0	-71
丰台区	商住两用	1	1	0	0	0	0	1	43000.0	2640.0	27.0	0	0	1	15	0	0	43	0	0	-81
西城区	纯住宅	1	1	0	0	1	0	1	54000.0	924.0	25.0	1	5	2	62	0	1	35	2	2	-63
海淀区	纯住宅	1	1	1	0	1	1	1	85000.0	5003.46	4.5	0	0	1	7	0	1	2	0	0	-52
海淀区	写字楼	1	1	0	0	0	0	1	39800.0	3520.0	8.0	0	0	0	5	0	0	0	0	0	-49
海淀区	纯住宅	1	1	0	0	0	0	1	53226.0	683.0	10.0	0	5	2	34	0	0	7	1	0	-73
海淀区	商住两用	1	1	0	0	0	0	1	38886.0	5280.0	18.0	0	1	2	29	0	1	7	0	1	-44
朝阳区	写字楼	1	1	0	0	1	0	1	52000.0	3520.0	24.0	3	17	2	9	0	0	34	0	0	-100
